order_id,product_id,order_date,quantity,price,seller_id,category,revenue,returned,shipping_days,customer_segment
O000047,P00734,2023-05-21,1,103.35,S0023,Home & Garden,103.35,True,8,New
O000048,P00559,2023-08-19,1,460.07,S0089,Jewelry,460.07,False,2,New
O000049,P00944,2022-10-23,2,105.41,S0097,Fashion,242.44,False,2,Returning
O000050,P00650,2023-05-27,2,159.36,S0117,Electronics,446.21,False,5,VIP
O000051,P01440,2023-09-01,2,40.95,S0013,Toys & Games,94.18,False,2,Returning
O000052,P01985,2022-08-16,3,37.5,S0030,Fashion,112.5,False,5,New
O000053,P01048,2023-07-18,1,17.05,S0050,Art & Crafts,17.05,False,5,New
O000054,P01053,2023-08-18,2,59.28,S0128,Art & Crafts,165.98,False,3,VIP
O000055,P01515,2023-02-19,3,59.79,S0105,Sports,206.28,False,2,Returning
O000056,P01159,2022-10-09,1,46.25,S0068,Books,46.25,False,3,New
O000057,P00351,2023-08-26,3,64.17,S0130,Toys & Games,192.51,False,6,New
O000058,P00913,2022-12-04,1,91.64,S0127,Electronics,105.39,False,7,Returning
O000059,P00350,2023-09-28,1,75.31,S0038,Fashion,86.61,False,3,Returning
O000060,P01305,2023-07-15,1,6.36,S0023,Beauty,6.36,False,6,New
O000061,P00476,2022-10-11,1,10.8,S0085,Books,12.42,True,4,Returning
O000062,P00292,2022-10-13,1,106.55,S0027,Jewelry,122.53,True,5,Returning
O000063,P01213,2023-11-09,1,49.1,S0049,Sports,49.1,False,8,New
O000064,P01607,2023-04-30,3,82.56,S0086,Sports,284.83,False,8,Returning
O000065,P01443,2023-02-04,3,22.9,S0149,Fashion,68.7,True,10,New
O000066,P00888,2022-08-25,1,19.81,S0061,Books,22.78,False,8,Returning
O000067,P00468,2023-02-18,1,26.06,S0029,Sports,26.06,True,7,New
O000068,P01230,2022-09-12,2,26.22,S0037,Fashion,52.44,True,4,New
O000069,P01266,2023-03-17,3,19.32,S0005,Home & Garden,66.65,False,2,Returning
O000070,P00306,2023-07-30,1,125.43,S0141,Art & Crafts,144.24,False,5,Returning
O000071,P01208,2024-01-12,3,67.6,S0010,Beauty,233.22,True,9,Returning
O000072,P00478,2023-05-15,2,14.78,S0100,Art & Crafts,33.99,False,6,Returning
O000073,P01528,2023-05-30,1,131.0,S0032,Beauty,131.0,False,7,New
O000074,P01152,2024-01-08,1,35.32,S0117,Toys & Games,35.32,False,3,New
O000075,P00449,2022-09-13,1,27.28,S0137,Home & Garden,31.37,False,10,Returning
O000076,P00230,2023-04-02,2,84.62,S0030,Fashion,169.24,False,6,New
O000077,P01065,2023-03-05,1,14.9,S0102,Books,17.13,False,3,Returning
O000078,P00793,2022-11-12,1,12.92,S0032,Fashion,14.86,False,7,Returning
O000079,P00674,2023-11-18,1,214.91,S0125,Jewelry,214.91,False,3,New
O000080,P01416,2023-07-07,1,87.73,S0101,Toys & Games,87.73,False,7,New
O000081,P00824,2023-11-21,2,58.46,S0008,Home & Garden,116.92,False,5,New
O000082,P01364,2023-08-19,1,7.66,S0080,Books,8.81,False,2,Returning
O000083,P01694,2023-09-30,1,22.4,S0081,Fashion,22.4,False,6,New
O000084,P00836,2023-09-09,1,66.12,S0015,Art & Crafts,66.12,False,4,New
O000085,P01045,2023-12-31,1,24.27,S0020,Beauty,27.91,False,2,Returning
O000086,P00347,2022-08-21,1,205.89,S0025,Home & Garden,236.77,False,4,Returning
O000087,P00010,2023-03-20,2,87.17,S0142,Jewelry,174.34,False,6,New
O000088,P00087,2023-09-03,1,17.99,S0008,Toys & Games,20.69,False,8,Returning
O000089,P00545,2022-08-27,1,13.8,S0017,Toys & Games,13.8,False,2,New
O000090,P01995,2023-06-10,1,204.16,S0068,Jewelry,234.78,False,7,Returning
O000091,P00873,2023-09-22,2,124.3,S0097,Sports,248.6,False,2,New
O000092,P01363,2023-11-03,1,29.0,S0110,Electronics,33.35,False,8,Returning
O000093,P00715,2023-12-16,2,93.48,S0033,Art & Crafts,215.0,False,6,Returning
O000094,P00004,2023-08-16,1,37.95,S0133,Beauty,53.13,True,5,VIP
O000095,P01047,2023-08-19,1,43.98,S0126,Toys & Games,50.58,False,5,Returning
O000096,P01221,2022-12-28,2,27.95,S0089,Food & Beverage,78.26,False,2,VIP
O000097,P01845,2022-09-25,2,21.12,S0047,Home & Garden,48.58,False,7,Returning
O000098,P01905,2022-08-18,1,36.34,S0076,Books,50.88,False,3,VIP
O000099,P01522,2024-01-20,3,13.02,S0091,Books,44.92,False,6,Returning
O000100,P00901,2023-02-04,1,62.54,S0084,Electronics,62.54,False,4,New
O000101,P01810,2023-06-11,1,53.22,S0127,Electronics,53.22,False,2,New
O000102,P00273,2023-07-30,1,50.68,S0074,Fashion,58.28,False,2,Returning
O000103,P01978,2023-06-04,1,47.64,S0124,Toys & Games,54.79,False,5,Returning
O000104,P01475,2023-05-20,2,72.86,S0088,Sports,167.58,False,9,Returning
O000105,P01131,2023-08-21,1,16.4,S0085,Food & Beverage,18.86,False,5,Returning
O000106,P00881,2024-01-28,1,6.99,S0090,Food & Beverage,8.04,False,6,Returning
O000107,P01402,2022-10-09,2,63.56,S0137,Home & Garden,146.19,False,7,Returning
O000108,P01224,2022-08-13,1,186.3,S0069,Electronics,186.3,False,4,New
O000109,P01976,2023-05-10,1,23.66,S0063,Toys & Games,33.12,False,9,VIP
O000110,P00936,2023-03-11,2,92.99,S0037,Fashion,213.88,False,5,Returning
O000111,P01879,2023-07-03,1,64.18,S0109,Beauty,73.81,False,10,Returning
O000112,P01751,2022-12-17,2,660.26,S0120,Jewelry,1518.6,True,7,Returning
O000113,P00002,2023-07-02,1,23.67,S0012,Books,33.14,False,2,VIP
O000114,P01145,2023-03-13,3,141.28,S0046,Beauty,423.84,False,3,New
O000115,P01639,2023-06-02,1,87.53,S0004,Electronics,100.66,False,5,Returning
O000116,P00149,2023-07-08,1,13.7,S0094,Fashion,19.18,False,2,VIP
O000117,P00948,2023-02-26,1,221.47,S0094,Electronics,254.69,False,2,Returning
O000118,P00152,2023-03-26,2,211.22,S0137,Jewelry,485.81,False,3,Returning
O000119,P01589,2023-02-20,2,11.4,S0072,Food & Beverage,26.22,True,7,Returning
O000120,P01702,2023-11-09,1,92.63,S0064,Sports,92.63,False,8,New
O000121,P01940,2024-01-21,2,6.24,S0057,Beauty,12.48,False,9,New
O000122,P00306,2023-02-25,1,125.43,S0141,Art & Crafts,144.24,False,4,Returning
O000123,P01703,2023-09-10,3,8.79,S0049,Books,30.33,False,2,Returning
O000124,P01852,2023-09-11,3,11.33,S0007,Books,47.59,False,5,VIP
O000125,P00882,2023-05-02,2,21.54,S0122,Food & Beverage,49.54,False,2,Returning
O000126,P00475,2023-12-01,1,49.41,S0128,Fashion,56.82,True,7,Returning
O000127,P01388,2023-07-29,2,30.56,S0134,Jewelry,70.29,False,4,Returning
O000128,P00807,2022-11-23,3,18.23,S0131,Art & Crafts,54.69,False,2,New
O000129,P01095,2023-01-07,1,12.87,S0073,Food & Beverage,12.87,False,3,New
O000130,P01664,2023-05-31,3,201.65,S0146,Jewelry,846.93,False,5,VIP
O000131,P00033,2023-12-30,1,175.27,S0017,Sports,201.56,False,5,Returning
O000132,P01181,2023-10-14,3,30.91,S0095,Art & Crafts,106.64,False,4,Returning
O000133,P01354,2022-11-25,3,10.53,S0020,Fashion,31.59,False,6,New
O000134,P00778,2022-10-02,1,23.17,S0134,Books,26.65,False,8,Returning
O000135,P01740,2023-08-16,1,60.54,S0084,Electronics,60.54,False,5,New
O000136,P01731,2023-05-13,2,10.46,S0138,Food & Beverage,24.06,False,7,Returning
O000137,P01411,2023-06-11,1,7.74,S0004,Home & Garden,8.9,False,2,Returning
O000138,P01997,2023-04-30,1,11.09,S0002,Art & Crafts,12.75,False,3,Returning
O000139,P01645,2023-01-21,3,46.18,S0120,Food & Beverage,159.32,False,2,Returning
O000140,P01183,2023-04-26,1,146.25,S0074,Beauty,146.25,False,4,New
O000141,P00795,2023-06-25,3,85.24,S0084,Fashion,294.08,False,5,Returning
O000142,P01990,2023-03-18,2,16.58,S0089,Electronics,33.16,False,4,New
O000143,P01563,2023-11-13,1,47.74,S0092,Electronics,54.9,True,5,Returning
O000144,P01251,2023-02-26,1,39.06,S0042,Jewelry,44.92,False,4,Returning
O000145,P01276,2023-04-01,2,11.42,S0086,Books,22.84,False,5,New
O000146,P00367,2022-10-04,2,63.78,S0148,Sports,146.69,False,7,Returning
O000147,P01801,2023-01-01,2,7.18,S0059,Fashion,14.36,False,3,New
O000148,P00262,2024-02-04,2,15.41,S0015,Home & Garden,30.82,False,5,New
O000149,P00646,2023-03-11,2,68.13,S0148,Jewelry,156.7,True,9,Returning
O000150,P00538,2022-11-06,1,47.3,S0102,Books,66.22,False,8,VIP
O000151,P01067,2023-03-24,1,10.97,S0086,Home & Garden,10.97,False,8,New
O000152,P01555,2023-07-23,3,16.05,S0136,Food & Beverage,55.37,False,2,Returning
O000153,P00016,2023-04-11,2,43.15,S0098,Books,86.3,False,10,New
O000154,P00105,2023-09-16,3,48.37,S0018,Fashion,145.11,False,2,New
O000155,P00791,2024-01-20,2,19.37,S0075,Fashion,54.24,False,2,VIP
O000156,P01227,2022-08-24,2,36.78,S0119,Books,102.98,False,5,VIP
O000157,P00720,2022-10-03,1,30.08,S0097,Sports,30.08,True,2,New
O000158,P01949,2023-05-20,1,54.15,S0115,Sports,75.81,False,6,VIP
O000159,P01702,2023-05-13,1,92.63,S0064,Sports,92.63,False,6,New
O000160,P01083,2023-05-06,2,49.09,S0147,Electronics,98.18,False,2,New
O000161,P01009,2022-11-02,1,7.27,S0010,Toys & Games,7.27,False,7,New
O000162,P00048,2023-07-15,1,48.17,S0132,Sports,55.4,False,5,Returning
O000163,P00660,2023-01-29,2,138.89,S0054,Electronics,277.78,False,5,New
O000164,P01301,2023-12-23,2,48.35,S0136,Fashion,111.2,False,6,Returning
O000165,P01436,2023-08-19,3,81.26,S0058,Electronics,243.78,False,2,New
O000166,P01202,2022-10-22,3,11.6,S0118,Art & Crafts,34.8,False,2,New
O000167,P00801,2022-10-18,2,19.81,S0021,Sports,45.56,False,4,Returning
O000168,P00114,2023-10-04,1,24.35,S0126,Sports,34.09,True,9,VIP
O000169,P00296,2022-12-16,1,142.06,S0074,Jewelry,163.37,False,4,Returning
O000170,P01754,2023-12-26,1,25.58,S0057,Sports,25.58,True,4,New
O000171,P00438,2023-04-09,1,27.94,S0002,Art & Crafts,39.12,False,5,VIP
O000172,P00266,2022-11-19,1,180.97,S0097,Jewelry,180.97,False,5,New
O000173,P00162,2024-01-13,3,7.36,S0134,Beauty,25.39,False,10,Returning
O000174,P01865,2023-05-31,1,56.64,S0107,Fashion,65.14,False,6,Returning
O000175,P00504,2024-01-20,1,15.56,S0036,Art & Crafts,17.89,False,10,Returning
O000176,P01060,2023-05-23,2,31.63,S0008,Toys & Games,72.75,False,6,Returning
O000177,P00587,2023-11-12,2,14.35,S0108,Sports,28.7,False,2,New
O000178,P00458,2023-11-10,1,50.25,S0128,Electronics,70.35,False,6,VIP
O000179,P01006,2023-02-18,1,19.08,S0014,Beauty,19.08,False,3,New
O000180,P01671,2022-11-20,1,52.56,S0045,Fashion,73.58,False,3,VIP
O000181,P01395,2023-06-29,1,25.16,S0010,Food & Beverage,25.16,True,2,New
O000182,P01510,2023-01-01,1,10.26,S0049,Books,10.26,False,5,New
O000183,P00272,2022-10-16,1,100.63,S0123,Sports,115.72,False,6,Returning
O000184,P01203,2022-10-08,2,229.64,S0021,Jewelry,642.99,False,3,VIP
O000185,P00480,2023-09-23,3,9.0,S0034,Home & Garden,31.05,False,8,Returning
O000186,P00957,2022-10-27,3,8.57,S0096,Fashion,25.71,False,2,New
O000187,P00159,2022-10-24,2,102.74,S0075,Books,205.48,True,3,New
O000188,P00755,2024-01-30,3,34.45,S0060,Art & Crafts,118.85,False,3,Returning
O000189,P01952,2023-12-30,2,110.31,S0098,Art & Crafts,308.87,False,4,VIP
O000190,P01837,2023-02-05,2,504.64,S0012,Sports,1160.67,False,3,Returning
O000191,P00204,2023-04-16,2,10.92,S0009,Art & Crafts,21.84,False,3,New
O000192,P00795,2023-06-14,3,85.24,S0084,Fashion,255.72,False,5,New
O000193,P01302,2022-10-03,1,19.76,S0003,Beauty,27.66,False,4,VIP
O000194,P01167,2023-11-19,1,52.32,S0052,Sports,52.32,False,5,New
O000195,P01544,2023-04-14,1,113.67,S0149,Toys & Games,130.72,False,3,Returning
O000196,P00512,2022-10-30,1,29.78,S0113,Food & Beverage,34.25,False,4,Returning
O000197,P01988,2022-08-23,2,14.71,S0120,Toys & Games,41.19,False,7,VIP
O000198,P00116,2023-03-01,1,16.16,S0025,Beauty,16.16,False,7,New
O000199,P00392,2023-04-18,3,100.84,S0129,Sports,347.9,False,4,Returning
O000200,P01367,2023-03-23,2,24.45,S0131,Books,68.46,True,4,VIP
O000201,P01397,2023-07-28,1,6.37,S0130,Toys & Games,7.33,False,6,Returning
O000202,P01808,2023-10-02,2,35.18,S0021,Fashion,80.91,True,7,Returning
O000203,P00688,2023-01-16,1,116.42,S0009,Art & Crafts,133.88,False,5,Returning
O000204,P00930,2023-01-06,2,55.13,S0032,Art & Crafts,126.8,False,3,Returning
O000205,P00726,2023-11-22,1,22.77,S0045,Food & Beverage,26.19,True,2,Returning
O000206,P00369,2022-09-10,1,38.72,S0086,Beauty,44.53,False,4,Returning
O000207,P01239,2022-09-16,1,11.17,S0007,Beauty,12.85,False,2,Returning
O000208,P01535,2023-07-11,1,190.47,S0146,Electronics,219.04,False,6,Returning
O000209,P00569,2023-05-21,1,119.48,S0145,Food & Beverage,137.4,False,5,Returning
O000210,P00901,2023-07-09,2,62.54,S0084,Electronics,143.84,False,8,Returning
O000211,P00741,2022-10-15,1,5.62,S0077,Food & Beverage,7.87,False,10,VIP
O000212,P01836,2023-09-02,1,28.35,S0011,Sports,28.35,False,4,New
O000213,P00327,2023-09-22,2,13.16,S0011,Fashion,36.85,False,5,VIP
O000214,P00037,2023-08-19,3,10.8,S0006,Art & Crafts,32.4,False,3,New
O000215,P00986,2023-02-26,3,24.69,S0062,Toys & Games,85.18,False,5,Returning
O000216,P00380,2023-06-01,3,8.51,S0049,Books,35.74,True,4,VIP
O000217,P00796,2023-12-17,2,48.65,S0022,Fashion,97.3,False,6,New
O000218,P01536,2022-10-13,2,36.84,S0059,Home & Garden,103.15,False,8,VIP
O000219,P01348,2024-02-04,2,41.94,S0073,Home & Garden,117.43,False,2,VIP
O000220,P00369,2023-06-21,1,38.72,S0086,Beauty,54.21,False,5,VIP
O000221,P00224,2022-10-22,1,24.35,S0093,Sports,28.0,False,9,Returning
O000222,P01958,2022-10-06,1,125.84,S0072,Jewelry,125.84,False,9,New
O000223,P00814,2023-03-27,2,11.43,S0024,Books,22.86,False,10,New
O000224,P01737,2023-02-23,1,23.46,S0073,Food & Beverage,23.46,False,7,New
O000225,P01124,2022-09-18,2,40.68,S0102,Electronics,93.56,False,3,Returning
O000226,P01818,2023-11-22,1,559.85,S0092,Jewelry,643.83,False,3,Returning
O000227,P01099,2023-10-08,2,54.58,S0125,Food & Beverage,109.16,False,7,New
O000228,P00724,2023-01-02,1,84.82,S0013,Books,97.54,False,3,Returning
O000229,P01461,2023-09-28,1,59.15,S0130,Art & Crafts,68.02,False,10,Returning
O000230,P00703,2023-04-21,1,18.37,S0114,Toys & Games,25.72,False,5,VIP
O000231,P01392,2022-11-19,2,29.44,S0060,Jewelry,58.88,False,5,New
O000232,P00063,2023-07-24,1,99.06,S0149,Sports,113.92,False,5,Returning
O000233,P01648,2023-08-10,3,22.97,S0147,Home & Garden,79.25,False,4,Returning
O000234,P01958,2022-08-22,2,125.84,S0072,Jewelry,289.43,False,4,Returning
O000235,P01679,2023-12-06,1,82.72,S0124,Electronics,82.72,False,5,New
O000236,P00099,2023-06-03,3,8.29,S0056,Beauty,24.87,False,5,New
O000237,P00777,2022-09-14,1,10.47,S0033,Food & Beverage,12.04,False,7,Returning
O000238,P01249,2023-01-14,3,83.72,S0068,Beauty,288.83,False,2,Returning
O000239,P00075,2022-10-30,2,37.99,S0047,Toys & Games,87.38,False,5,Returning
O000240,P01814,2022-08-30,1,17.34,S0143,Toys & Games,24.28,False,4,VIP
O000241,P01734,2023-11-07,1,27.05,S0106,Beauty,27.05,False,6,New
O000242,P00184,2023-05-02,1,21.77,S0038,Fashion,21.77,False,3,New
O000243,P01317,2022-12-06,2,8.44,S0084,Sports,19.41,False,2,Returning
O000244,P01081,2022-09-17,1,134.16,S0033,Home & Garden,134.16,False,8,New
O000245,P01273,2023-09-10,1,16.0,S0125,Toys & Games,22.4,False,3,VIP
O000246,P01980,2022-08-16,1,35.6,S0121,Sports,35.6,False,8,New
O000247,P01650,2023-05-25,1,15.14,S0147,Toys & Games,21.2,False,3,VIP
O000248,P00469,2023-08-05,1,17.17,S0109,Books,19.75,False,3,Returning
O000249,P00140,2023-03-15,1,67.77,S0033,Home & Garden,67.77,False,3,New
O000250,P01927,2023-03-18,3,56.46,S0066,Jewelry,194.79,True,7,Returning
O000251,P01986,2023-05-21,2,36.43,S0009,Toys & Games,83.79,False,2,Returning
O000252,P00359,2023-02-13,1,40.58,S0029,Sports,40.58,False,5,New
O000253,P01577,2023-06-25,2,24.47,S0019,Food & Beverage,56.28,False,7,Returning
O000254,P01432,2023-07-22,1,11.82,S0149,Art & Crafts,11.82,False,6,New
O000255,P01498,2023-06-06,1,70.54,S0094,Beauty,70.54,False,6,New
O000256,P01689,2023-10-01,1,16.91,S0003,Books,19.45,False,2,Returning
O000257,P01470,2023-06-11,1,36.86,S0034,Toys & Games,42.39,False,5,Returning
O000258,P00980,2022-10-24,1,50.47,S0078,Sports,50.47,False,2,New
O000259,P01256,2023-05-11,1,43.01,S0131,Toys & Games,60.21,False,5,VIP
O000260,P01641,2023-05-25,2,63.96,S0003,Beauty,147.11,False,5,Returning
O000261,P01642,2023-06-18,2,10.73,S0080,Food & Beverage,21.46,False,5,New
O000262,P00300,2023-09-01,3,115.32,S0023,Jewelry,397.85,False,9,Returning
O000263,P01666,2023-02-11,3,11.38,S0116,Books,39.26,False,8,Returning
O000264,P00426,2023-03-15,1,12.97,S0055,Fashion,14.92,False,3,Returning
O000265,P00995,2023-05-07,1,59.48,S0123,Books,68.4,True,3,Returning
O000266,P00161,2023-05-04,1,17.46,S0079,Electronics,17.46,True,8,New
O000267,P00401,2023-12-24,2,224.36,S0087,Home & Garden,448.72,False,7,New
O000268,P01402,2023-01-20,1,63.56,S0137,Home & Garden,88.98,False,8,VIP
O000269,P01983,2024-01-14,2,13.53,S0120,Jewelry,27.06,False,3,New
O000270,P01942,2023-10-21,2,14.34,S0046,Sports,32.98,False,2,Returning
O000271,P01281,2023-04-28,2,16.71,S0035,Food & Beverage,33.42,False,4,New
O000272,P00741,2023-03-26,3,5.62,S0077,Food & Beverage,19.39,False,5,Returning
O000273,P00862,2023-09-21,3,162.35,S0088,Jewelry,487.05,False,3,New
O000274,P00494,2022-09-03,1,225.13,S0053,Sports,225.13,False,8,New
O000275,P01990,2022-10-28,1,16.58,S0089,Electronics,19.07,False,11,Returning
O000276,P00489,2023-11-16,1,10.71,S0057,Food & Beverage,12.32,False,2,Returning
O000277,P01206,2022-09-16,2,40.44,S0009,Sports,93.01,False,5,Returning
O000278,P00526,2022-12-10,2,10.54,S0073,Art & Crafts,21.08,False,8,New
O000279,P01124,2023-05-18,1,40.68,S0102,Electronics,40.68,False,4,New
O000280,P00737,2022-11-13,3,59.05,S0039,Toys & Games,203.72,False,2,Returning
O000281,P00358,2023-10-29,2,17.42,S0088,Fashion,34.84,True,6,New
O000282,P01255,2023-12-05,1,121.83,S0097,Home & Garden,121.83,True,9,New
O000283,P00565,2022-12-03,1,47.67,S0047,Home & Garden,47.67,False,6,New
O000284,P01030,2023-09-19,3,21.36,S0108,Books,89.71,False,4,VIP
O000285,P00090,2023-01-08,1,32.33,S0047,Sports,45.26,False,6,VIP
O000286,P00064,2022-09-03,2,52.82,S0070,Fashion,121.49,False,4,Returning
O000287,P01112,2023-03-18,1,7.27,S0054,Electronics,8.36,False,5,Returning
O000288,P01057,2022-10-25,2,15.13,S0080,Home & Garden,34.8,False,4,Returning
O000289,P01096,2023-04-09,3,99.67,S0077,Toys & Games,343.86,False,6,Returning
O000290,P01580,2023-10-25,1,10.99,S0039,Books,10.99,False,4,New
O000291,P00253,2023-10-08,1,12.71,S0145,Books,14.62,False,2,Returning
O000292,P00107,2023-11-18,2,84.76,S0115,Sports,194.95,False,4,Returning
O000293,P01826,2023-08-06,2,20.7,S0131,Food & Beverage,41.4,False,5,New
O000294,P00930,2024-01-21,1,55.13,S0032,Art & Crafts,63.4,True,2,Returning
O000295,P01944,2023-11-13,1,25.43,S0145,Food & Beverage,29.24,True,2,Returning
O000296,P00514,2023-12-10,1,235.5,S0054,Jewelry,270.82,False,6,Returning
O000297,P00136,2023-02-08,1,23.74,S0064,Beauty,33.24,False,9,VIP
O000298,P00629,2022-09-18,2,22.32,S0121,Books,51.34,False,7,Returning
O000299,P00409,2023-04-29,1,37.07,S0067,Beauty,42.63,False,6,Returning
O000300,P00121,2022-11-06,1,15.87,S0138,Home & Garden,15.87,False,6,New
O000301,P01502,2024-01-09,1,43.75,S0138,Jewelry,50.31,False,5,Returning
O000302,P00800,2023-10-22,3,7.43,S0092,Food & Beverage,22.29,False,5,New
O000303,P00824,2023-01-27,2,58.46,S0008,Home & Garden,116.92,False,4,New
O000304,P01118,2024-01-29,2,106.12,S0149,Sports,244.08,False,3,Returning
O000305,P00505,2023-06-12,1,15.92,S0115,Books,15.92,False,3,New
O000306,P00007,2024-01-20,1,59.35,S0112,Home & Garden,68.25,False,8,Returning
O000307,P00944,2022-10-02,3,105.41,S0097,Fashion,363.66,False,5,Returning
O000308,P01624,2022-10-19,2,17.16,S0132,Home & Garden,39.47,False,4,Returning
O000309,P01718,2023-09-13,2,24.28,S0041,Art & Crafts,55.84,False,2,Returning
O000310,P00191,2023-11-19,2,37.4,S0134,Art & Crafts,86.02,False,4,Returning
O000311,P00457,2023-08-22,1,12.75,S0059,Books,17.85,True,10,VIP
O000312,P01744,2023-02-05,1,69.33,S0007,Toys & Games,69.33,False,2,New
O000313,P00386,2022-08-16,1,21.63,S0078,Beauty,21.63,False,5,New
O000314,P00803,2023-11-01,3,196.09,S0101,Jewelry,823.58,False,2,VIP
O000315,P00866,2023-11-11,3,98.71,S0121,Jewelry,414.58,True,3,VIP
O000316,P01023,2023-10-21,1,74.67,S0107,Food & Beverage,85.87,False,4,Returning
O000317,P00278,2023-08-21,1,47.45,S0047,Fashion,47.45,False,4,New
O000318,P01472,2022-09-16,1,44.86,S0079,Fashion,51.59,False,8,Returning
O000319,P00827,2022-12-21,1,16.15,S0050,Food & Beverage,18.57,False,3,Returning
O000320,P00945,2022-09-16,3,41.73,S0135,Toys & Games,143.97,False,2,Returning
O000321,P00052,2022-09-24,1,76.38,S0096,Electronics,106.93,False,5,VIP
O000322,P01429,2022-11-11,3,65.01,S0133,Beauty,195.03,False,4,New
O000323,P00396,2024-01-15,1,63.94,S0131,Toys & Games,63.94,False,5,New
O000324,P00779,2023-08-11,3,8.34,S0111,Books,28.77,False,6,Returning
O000325,P01780,2024-01-10,3,17.41,S0017,Fashion,52.23,False,4,New
O000326,P00694,2023-02-05,2,38.97,S0038,Books,109.12,False,6,VIP
O000327,P00211,2023-01-10,2,23.07,S0062,Toys & Games,53.06,False,6,Returning
O000328,P00890,2023-10-21,1,8.21,S0134,Art & Crafts,8.21,False,2,New
O000329,P01734,2023-08-19,1,27.05,S0106,Beauty,27.05,False,2,New
O000330,P00270,2023-11-04,2,14.58,S0010,Fashion,29.16,False,2,New
O000331,P00545,2022-12-25,1,13.8,S0017,Toys & Games,19.32,False,3,VIP
