product_id,seller_id,category,listing_date,quality_score,price
P00207,S0094,Home & Garden,2023-01-19,7.394545936314244,36.79
P00208,S0095,Fashion,2023-05-12,6.644752786388245,328.56
P00209,S0049,Electronics,2023-05-28,8.408263283142144,15.69
P00210,S0069,Electronics,2022-12-02,6.446510802138722,139.04
P00211,S0062,Toys & Games,2022-09-01,7.84461555096717,23.07
P00212,S0078,Jewelry,2023-06-15,6.851786310073363,135.1
P00213,S0117,Sports,2022-09-02,8.971048266510437,61.28
P00214,S0120,Home & Garden,2023-09-03,7.608116766920421,20.26
P00215,S0137,Art & Crafts,2022-12-13,8.361665728351614,35.8
P00216,S0076,Sports,2023-03-30,6.510697977388446,9.74
P00217,S0035,Toys & Games,2023-03-05,8.9964776123618,42.93
P00218,S0001,Electronics,2022-11-09,7.806101306205031,75.66
P00219,S0040,Art & Crafts,2022-11-10,6.279441133957908,49.68
P00220,S0064,Electronics,2023-07-01,6.1922517034643025,138.97
P00221,S0150,Home & Garden,2023-03-21,6.849145214371911,48.88
P00222,S0060,Jewelry,2023-08-21,7.867357812265871,82.02
P00223,S0064,Sports,2023-05-15,7.084773120380877,21.27
P00224,S0093,Sports,2022-08-19,7.554912927443464,24.35
P00225,S0072,Fashion,2023-07-03,6.2822522365986435,85.57
P00226,S0011,Art & Crafts,2022-08-20,6.001579022186437,94.04
P00227,S0105,Food & Beverage,2022-09-12,8.620280181490923,19.16
P00228,S0014,Toys & Games,2023-10-29,6.175149125972476,27.49
P00229,S0060,Food & Beverage,2023-03-24,7.267699637470648,11.24
P00230,S0030,Fashion,2023-03-16,7.829232909030383,84.62
P00231,S0035,Home & Garden,2023-10-23,7.9173038263168625,62.03
P00232,S0005,Toys & Games,2022-12-27,7.330545672473821,125.19
P00233,S0083,Jewelry,2022-08-31,6.157397153415019,36.08
P00234,S0123,Food & Beverage,2022-10-30,7.207510287675226,17.13
P00235,S0078,Jewelry,2023-03-25,6.3278634419064055,87.67
P00236,S0062,Food & Beverage,2023-10-05,7.471907121030356,38.88
P00237,S0132,Jewelry,2023-07-18,6.602462589587816,61.31
P00238,S0089,Food & Beverage,2022-10-27,7.926782017609293,11.53
P00239,S0042,Jewelry,2023-07-27,7.198861084055244,147.46
P00240,S0089,Fashion,2023-09-08,7.342546821332479,58.96
P00241,S0146,Beauty,2023-05-25,7.483275637235241,15.91
P00242,S0040,Toys & Games,2023-07-05,6.605280681273629,78.35
P00243,S0072,Art & Crafts,2023-01-14,7.324743719825507,76.0
P00244,S0039,Home & Garden,2022-12-14,6.816566101398747,40.56
P00245,S0104,Books,2023-02-14,7.8762353184127,17.65
P00246,S0014,Electronics,2023-09-09,6.256376145620924,92.85
P00247,S0032,Art & Crafts,2022-09-08,6.850712992539967,14.96
P00248,S0125,Electronics,2023-08-29,6.494412147477753,61.06
P00249,S0097,Toys & Games,2023-08-02,7.996750498856365,4.73
P00250,S0023,Art & Crafts,2022-08-23,6.524070009013749,60.09
P00251,S0063,Jewelry,2023-06-17,8.763434612790792,20.89
P00252,S0143,Jewelry,2022-10-22,7.783640422813225,242.55
P00253,S0145,Books,2022-09-11,6.3928826304455715,12.71
P00254,S0053,Electronics,2023-08-02,8.227691890015448,50.32
P00255,S0104,Home & Garden,2023-02-20,6.675435283439929,22.05
P00256,S0104,Toys & Games,2023-07-05,7.283074199203258,21.04
P00257,S0039,Jewelry,2022-09-06,7.926643459002545,226.62
P00258,S0134,Beauty,2023-02-18,7.318846493699833,4.53
P00259,S0067,Fashion,2022-08-24,7.249401338813216,91.98
P00260,S0135,Fashion,2023-10-05,7.565081727324888,43.4
P00261,S0042,Food & Beverage,2022-10-24,6.756049898868804,8.83
P00262,S0015,Home & Garden,2023-05-28,6.205892289400572,15.41
P00263,S0111,Fashion,2022-10-28,7.438045640867202,126.61
P00264,S0033,Food & Beverage,2023-09-17,7.0077775935825475,10.88
P00265,S0038,Electronics,2023-10-10,7.417531264691309,23.69
P00266,S0097,Jewelry,2022-12-10,6.9978870495937455,180.97
P00267,S0033,Jewelry,2022-08-27,6.648876457270132,95.52
P00268,S0086,Beauty,2022-11-18,6.668430674520229,15.64
P00269,S0066,Art & Crafts,2023-09-04,6.551484819494433,35.44
P00270,S0010,Fashion,2022-10-24,7.182095745661247,14.58
P00271,S0005,Electronics,2023-03-25,7.6066091470360675,143.8
P00272,S0123,Sports,2023-11-01,7.794596991499477,100.63
P00273,S0074,Fashion,2023-06-01,8.036436631271854,50.68
P00274,S0097,Home & Garden,2023-02-27,7.411003390438441,48.65
P00275,S0118,Art & Crafts,2022-10-08,6.061649237398741,121.95
P00276,S0038,Fashion,2022-09-03,7.758408675170765,33.11
P00277,S0141,Electronics,2022-10-18,7.526020426851746,23.16
P00278,S0047,Fashion,2022-11-19,7.889500160420424,47.45
P00279,S0109,Home & Garden,2023-06-30,6.978432497376181,193.28
P00280,S0015,Sports,2023-08-06,6.683868987149453,19.12
P00281,S0136,Toys & Games,2023-01-12,7.848436869685321,19.84
P00282,S0005,Books,2023-08-06,6.0487819862201935,23.1
P00283,S0047,Sports,2023-08-02,7.162849789738174,41.23
P00284,S0068,Food & Beverage,2023-02-18,8.097865048998674,10.56
P00285,S0076,Fashion,2023-05-10,6.938640802422764,81.25
P00286,S0130,Jewelry,2023-06-28,7.357774862700421,466.14
P00287,S0095,Beauty,2023-02-10,7.80452801188754,38.74
P00288,S0115,Jewelry,2023-06-30,7.954262393763855,35.35
P00289,S0036,Sports,2022-11-29,7.00143371741316,12.47
P00290,S0026,Jewelry,2023-06-17,8.37370686018203,89.55
P00291,S0043,Electronics,2023-01-20,6.329050744785625,144.15
P00292,S0027,Jewelry,2022-10-08,6.467160868444719,106.55
P00293,S0069,Art & Crafts,2022-11-08,6.526946891387697,29.75
P00294,S0148,Toys & Games,2023-05-21,6.575640273104071,16.53
P00295,S0011,Fashion,2023-01-08,6.24610424718065,13.82
P00296,S0074,Jewelry,2023-03-21,8.972699845888325,142.06
P00297,S0104,Home & Garden,2022-12-13,7.130433474754572,75.67
P00298,S0038,Toys & Games,2023-02-17,6.2306021806780985,7.69
P00299,S0134,Toys & Games,2022-12-01,6.213982522349246,94.51
P00300,S0023,Jewelry,2023-04-27,7.438919935339944,115.32
P00301,S0047,Toys & Games,2022-08-26,7.709137328065282,81.17
P00302,S0090,Beauty,2022-08-18,6.513904599016939,11.32
P00303,S0046,Jewelry,2022-11-08,6.54181902467047,24.43
P00304,S0107,Electronics,2022-12-25,6.446180036890712,52.91
P00305,S0140,Sports,2023-10-31,7.6130313815935144,64.37
P00306,S0141,Art & Crafts,2023-07-07,7.7067898732600835,125.43
P00307,S0104,Books,2023-07-31,7.363016239695285,29.13
P00308,S0111,Food & Beverage,2023-07-14,6.459836741723265,19.09
P00309,S0104,Toys & Games,2023-10-31,7.531891757050847,11.66
P00310,S0060,Electronics,2022-09-29,6.506987506514381,159.46
P00311,S0100,Fashion,2023-02-19,7.881074602205896,15.31
P00312,S0068,Fashion,2023-03-02,8.811887935852528,121.85
P00313,S0133,Food & Beverage,2023-05-22,7.133612210020932,18.46
P00314,S0120,Art & Crafts,2023-09-13,7.208847983974772,106.39
P00315,S0037,Toys & Games,2023-10-21,6.762293764069471,45.6
P00316,S0072,Beauty,2023-08-09,6.823704566288994,29.68
P00317,S0127,Food & Beverage,2022-11-09,8.455158644269888,15.3
P00318,S0106,Art & Crafts,2023-10-02,6.903277991037676,22.69
P00319,S0092,Toys & Games,2023-09-22,8.213459893011795,37.32
P00320,S0031,Electronics,2023-06-13,8.388189571860728,63.4
P00321,S0122,Sports,2022-12-31,7.671892306757868,26.77
P00322,S0137,Beauty,2022-11-02,7.62138896275136,29.01
P00323,S0051,Books,2023-01-08,7.690113073665129,17.63
P00324,S0029,Fashion,2022-08-10,6.900938095532718,6.03
P00325,S0040,Home & Garden,2023-07-16,6.82693153342032,52.55
P00326,S0041,Electronics,2023-09-01,6.412405431803558,27.22
P00327,S0011,Fashion,2023-04-25,7.753120981577435,13.16
P00328,S0001,Jewelry,2023-01-19,6.316572512118196,18.89
P00329,S0046,Home & Garden,2022-08-14,7.411321643106184,8.67
P00330,S0101,Fashion,2023-01-04,7.211398480919751,11.2
P00331,S0149,Art & Crafts,2023-03-01,7.383727816321689,16.9
P00332,S0090,Beauty,2022-12-04,6.766138739453013,158.0
P00333,S0110,Fashion,2022-11-05,7.738198137449457,21.74
P00334,S0057,Books,2023-01-09,7.136638302155851,19.09
P00335,S0001,Sports,2023-10-21,6.879015560895104,59.31
P00336,S0063,Art & Crafts,2023-01-22,7.134481268104073,33.1
P00337,S0055,Electronics,2023-01-16,7.4293789368903305,56.03
P00338,S0115,Electronics,2023-05-05,8.141471681631462,22.91
P00339,S0143,Electronics,2022-10-03,7.229082036442631,190.29
P00340,S0149,Electronics,2023-03-24,7.664324907458237,253.04
P00341,S0053,Sports,2023-07-11,7.988023341198611,11.2
P00342,S0137,Fashion,2023-01-04,6.736923410188964,14.6
P00343,S0057,Toys & Games,2022-09-23,6.027279691671762,21.18
P00344,S0117,Fashion,2022-12-30,7.606439093437182,15.31
P00345,S0035,Jewelry,2023-04-03,8.895980942995585,109.21
P00346,S0063,Beauty,2023-05-07,8.580519807883388,18.49
P00347,S0025,Home & Garden,2022-12-06,6.591505669240659,205.89
P00348,S0090,Toys & Games,2023-07-14,6.991307841766494,68.67
P00349,S0075,Toys & Games,2023-09-25,7.3422378088681635,31.4
P00350,S0038,Fashion,2023-03-16,6.821045568702855,75.31
P00351,S0130,Toys & Games,2022-08-16,6.962697426400301,64.17
P00352,S0135,Food & Beverage,2023-07-18,7.272742210058917,14.76
P00353,S0091,Food & Beverage,2023-08-30,6.3933771164624265,12.07
P00354,S0017,Jewelry,2023-05-10,6.110664774326692,77.55
P00355,S0128,Home & Garden,2023-07-27,7.396261483647154,72.57
P00356,S0108,Books,2022-10-13,6.5184017952507585,18.51
P00357,S0025,Sports,2022-10-26,7.254516801271956,12.19
P00358,S0088,Fashion,2022-11-02,7.132750814775366,17.42
P00359,S0029,Sports,2022-12-10,8.446289422853816,40.58
P00360,S0063,Books,2023-02-26,7.3874341015525955,15.59
P00361,S0150,Fashion,2023-01-05,6.691657140619188,160.46
P00362,S0114,Fashion,2022-09-23,7.715682317283067,10.93
P00363,S0049,Home & Garden,2022-11-29,6.516902992124921,54.59
P00364,S0081,Sports,2022-11-07,8.678415906078918,141.69
P00365,S0084,Food & Beverage,2022-12-27,6.063988920288649,142.66
P00366,S0105,Electronics,2023-05-24,8.880359669458482,43.13
P00367,S0148,Sports,2023-09-01,8.284148702187242,63.78
P00368,S0118,Beauty,2023-03-14,7.071043832171927,52.24
P00369,S0086,Beauty,2022-10-24,7.087191149822584,38.72
P00370,S0063,Fashion,2023-09-23,8.307555845912312,30.6
P00371,S0104,Electronics,2023-08-20,7.274100023869774,84.48
P00372,S0049,Art & Crafts,2023-08-27,7.794444566795711,3.93
P00373,S0071,Books,2023-07-08,6.589536777376974,28.57
P00374,S0001,Jewelry,2023-01-07,6.108095254699453,80.59
P00375,S0141,Electronics,2023-06-27,8.414460839239089,49.89
P00376,S0123,Jewelry,2023-04-04,7.09924460221207,374.63
P00377,S0062,Sports,2022-12-01,7.775635280671638,25.09
P00378,S0032,Sports,2023-06-23,6.209321267815793,31.18
P00379,S0029,Jewelry,2023-08-12,8.14529585438778,358.42
P00380,S0049,Books,2022-11-10,6.920094674584139,8.51
P00381,S0030,Electronics,2022-09-25,6.788167297020063,38.39
P00382,S0144,Art & Crafts,2023-02-15,6.633204869654826,26.5
P00383,S0019,Fashion,2022-08-20,6.800310545730798,64.88
P00384,S0018,Home & Garden,2023-01-11,6.800990996145171,43.02
P00385,S0001,Sports,2023-01-27,7.00714014880711,15.31
P00386,S0078,Beauty,2023-10-09,7.603285179662734,21.63
P00387,S0115,Books,2023-09-13,7.3830680207577934,10.19
P00388,S0113,Home & Garden,2023-05-31,7.981227151796398,34.24
P00389,S0114,Art & Crafts,2023-02-01,8.697535170562627,41.9
P00390,S0063,Toys & Games,2023-07-15,8.412116229276062,37.02
P00391,S0132,Fashion,2022-10-04,6.98090881703957,8.0
P00392,S0129,Sports,2023-07-17,6.515391296378359,100.84
P00393,S0008,Fashion,2023-07-14,8.769853493689933,40.53
P00394,S0055,Home & Garden,2023-10-30,7.6540408033811165,110.27
P00395,S0103,Fashion,2023-02-27,6.442295220221387,47.25
P00396,S0131,Toys & Games,2023-02-09,6.538239505276021,63.94
P00397,S0032,Home & Garden,2022-12-07,7.606266177872492,52.91
P00398,S0010,Sports,2023-03-22,6.588291124174911,126.39
P00399,S0110,Electronics,2023-02-26,7.98418437405764,90.52
P00400,S0124,Beauty,2023-07-04,6.260703359429583,30.62
P00401,S0087,Home & Garden,2023-08-06,8.092137050793875,224.36
P00402,S0055,Food & Beverage,2023-08-23,7.2895506335433655,47.21
P00403,S0032,Toys & Games,2023-07-30,6.984432366574934,41.92
P00404,S0135,Home & Garden,2023-03-12,8.761301154929155,13.12
P00405,S0093,Home & Garden,2022-09-20,7.325822379178426,13.0
P00406,S0008,Food & Beverage,2023-08-18,8.074987507346469,29.3
P00407,S0065,Sports,2022-08-31,6.098599324818339,48.37
P00408,S0057,Home & Garden,2023-01-10,6.004694947734906,22.29
P00409,S0067,Beauty,2023-02-10,6.489599746003452,37.07
P00410,S0072,Fashion,2023-04-14,7.361166185837535,118.03
P00411,S0054,Sports,2023-04-02,7.242529786718274,75.09
P00412,S0067,Beauty,2023-05-28,6.227523917609099,13.29
P00413,S0051,Sports,2022-12-20,8.321921216071807,39.38
P00414,S0097,Beauty,2023-06-25,7.795674077216453,17.39
P00415,S0092,Toys & Games,2023-09-02,7.924143984495861,19.43
P00416,S0008,Beauty,2023-10-16,7.356901348196749,23.79
P00417,S0035,Jewelry,2022-08-30,7.659176294744085,49.72
P00418,S0096,Beauty,2023-08-04,7.880794067891088,12.13
P00419,S0088,Electronics,2022-11-04,7.021332765124203,53.82
P00420,S0078,Electronics,2023-01-08,7.706692995217447,38.07
P00421,S0032,Books,2022-12-11,7.726982900925637,1.59
P00422,S0120,Jewelry,2022-10-26,8.045045183525088,376.47
P00423,S0046,Jewelry,2023-07-20,6.83766721330514,174.07
P00424,S0144,Fashion,2022-09-28,7.6436029185084005,24.51
P00425,S0142,Jewelry,2023-03-12,7.538501118483174,73.96
